created_at,source,original_text,cleaned_text,extra_clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,screen_count,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
2021-06-18 17:55:49+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TelGlobalHealth: 🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen…","🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM","🚨africa is ""in the midst of a full-blown third wave"" of coronavirus the head of whoafro has warned

cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

jriggers reports ~ 🧵
","Sentiment(polarity=0.16666666666666666, subjectivity=0.18888888888888888)",0.16666667,0.18888889,en,548.0,612.0,ketuesriche,204051,551.0,351.0,,,TelGlobalHealth,Mass,
2021-06-18 17:55:59+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @globalhlthtwit: Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate re…","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate request for vaccines to africa we plead with germany and the uk to lift patent restrictions and urgently transfer technology to enable production in africa ,"Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",0.13333334,0.45555556,en,195.0,92.0,Grid1949,3462,66.0,92.0,,,globalhlthtwit,"Edinburgh, Scotland",
2021-06-18 17:56:07+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NHSRDForum: Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all…,"Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all about sharing the talent, passion  &amp; commitment of individuals coming together as a community for the benefit of all. You've done this. Well done 👋",thank you research2note for creating this amazing campaign &amp turning social media red4research today nhsrdforum is all about sharing the talent passion  &amp commitment of individuals coming together as a community for the benefit of all you have done this well done 👋,"Sentiment(polarity=0.3166666666666667, subjectivity=0.48333333333333334)",0.31666666,0.48333332,en,2.0,1.0,LeeTomlinson8,6727,1195.0,1176.0,,red4research,NHSRDForum,,
2021-06-18 17:56:10+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @HighWireTalk: Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out a…","Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out about the dangers of the #Covid19 vaccines, breaks down his “list of lies” that keeps him up at night. https://t.co/LSE8CrKdqn",former pfizer vp and virologist dr michael yeadon is one of the most credentialed medical professionals speaking out about the dangers of the covid19 vaccines breaks down his “list of lies” that keeps him up at night ,"Sentiment(polarity=0.08611111111111111, subjectivity=0.19722222222222224)",0.08611111,0.19722222,en,1580.0,899.0,RIPNY08,45477,2666.0,2704.0,,,HighWireTalk,,
2021-06-18 17:56:20+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @PeterHotez: I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But…,I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But it needs more vaccines to share.  We’re hoping our low cost @TexasChildrens recombinant protein COVID19 vaccine with @biological_e will help fill some gaps,i think it’s important that we don’t sell covax short it still has a lot going for it and is innovative in its design but it needs more vaccines to share  we’re hoping our low cost texaschildrens recombinant protein covid19 vaccine with biological_e will help fill some gaps,"Sentiment(polarity=0.27999999999999997, subjectivity=0.6199999999999999)",0.28,0.62,en,72.0,20.0,pash22,277957,28250.0,30819.0,,,PeterHotez,United Kingdom,
2021-06-18 17:56:25+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CDCDirector: I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine n…","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP","i’m pleased to welcome the wecandothis bus to atlanta today remember there are 3 easy ways to find a covid19 vaccine near you  
🔍 search   
📱text your zip code to 438829  
📞 call 1-800-232-0233 ","Sentiment(polarity=0.5083333333333333, subjectivity=0.7833333333333333)",0.5083333,0.78333336,en,683.0,220.0,SandhraLee,272151,759.0,4163.0,,WeCanDoThis,CDCDirector,USA,
2021-06-18 17:56:44+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @RealJoelSmalley: Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy…","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",yet another amazingly qualified and courageous doctor roger hodkinson speaks out against the crazy government policy responses to covid  i have condensed his 45 minutes on the hirewire to 6 twitter size edits starting with an overview of interventions and vaccines ,"Sentiment(polarity=3.700743415417188e-17, subjectivity=0.6333333333333334)",3.7007435e-17,0.6333333,en,536.0,347.0,neilwalton48,3854,221.0,599.0,,,RealJoelSmalley,,
2021-06-18 17:56:46+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @RealJoelSmalley: Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy…","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",yet another amazingly qualified and courageous doctor roger hodkinson speaks out against the crazy government policy responses to covid  i have condensed his 45 minutes on the hirewire to 6 twitter size edits starting with an overview of interventions and vaccines ,"Sentiment(polarity=3.700743415417188e-17, subjectivity=0.6333333333333334)",3.7007435e-17,0.6333333,en,536.0,348.0,Candide62,3185,154.0,1102.0,,,RealJoelSmalley,"Nord-Pas-de-Calais, France",
2021-06-18 17:56:46+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @globalhlthtwit: Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate re…","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate request for vaccines to africa we plead with germany and the uk to lift patent restrictions and urgently transfer technology to enable production in africa,"Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",0.13333334,0.45555556,en,197.0,93.0,AnneCar51323293,4727,115.0,2030.0,,,globalhlthtwit,,
2021-06-18 17:56:47+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @LongCovidNYC: It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then…","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q","it is really something to see new research coming out about damage to the brain heart and more from covid19 and then watch our government reopen everything and just let covid and deltavariant spread wildly throughout our country

vaccines are great but we need to do more ","Sentiment(polarity=0.37272727272727274, subjectivity=0.46742424242424246)",0.37272727,0.46742424,en,3.0,1.0,DarkaDuna2014,2427,94.0,144.0,,Covid19,LongCovidNYC,"Bilbao, País Vasco",
